x,y,theta
6.152695,5.425400,-1.125737
6.221161,5.281859,-1.108284
6.292121,5.139534,-1.090831
6.365555,4.998469,-1.073377
6.441440,4.858707,-1.055924
6.519752,4.720291,-1.038471
6.600467,4.583263,-1.021018
6.683562,4.447664,-1.003564
6.769011,4.313536,-0.986111
6.856788,4.180920,-0.968658
6.946866,4.049856,-0.951204
7.039217,3.920384,-0.933751
7.133814,3.792543,-0.916298
7.230628,3.666373,-0.898845
7.329629,3.541912,-0.881391
7.430787,3.419197,-0.863938
7.534071,3.298267,-0.846485
7.639450,3.179158,-0.829031
7.746892,3.061906,-0.811578
7.856364,2.946546,-0.794125
7.967832,2.833115,-0.776672
8.081263,2.721647,-0.759218
8.196622,2.612175,-0.741765
8.313875,2.504734,-0.724312
8.432984,2.399355,-0.706858
8.553914,2.296070,-0.689405
8.676629,2.194912,-0.671952
8.801090,2.095911,-0.654498
8.927260,1.999098,-0.637045
9.055101,1.904501,-0.619592
9.184573,1.812149,-0.602139
9.315637,1.722071,-0.584685
9.448253,1.634295,-0.567232
9.582381,1.548846,-0.549779
9.717979,1.465751,-0.532325
9.855008,1.385035,-0.514872
9.993424,1.306723,-0.497419
10.133186,1.230838,-0.479966
10.274250,1.157405,-0.462512
10.416575,1.086444,-0.445059
10.560117,1.017978,-0.427606
10.704832,0.952028,-0.410152
10.850675,0.888613,-0.392699
10.997604,0.827754,-0.375246
11.145572,0.769467,-0.357792
11.294534,0.713773,-0.340339
11.444446,0.660686,-0.322886
11.595262,0.610224,-0.305433
11.746935,0.562401,-0.287979
11.899420,0.517233,-0.270526
12.052670,0.474733,-0.253073
12.206638,0.434914,-0.235619
12.361278,0.397789,-0.218166
12.516542,0.363367,-0.200713
12.672384,0.331661,-0.183260
12.828755,0.302679,-0.165806
12.985607,0.276431,-0.148353
13.142895,0.252925,-0.130900
13.300568,0.232166,-0.113446
13.458580,0.214163,-0.095993
13.616881,0.198921,-0.078540
13.775425,0.186443,-0.061087
13.934162,0.176734,-0.043633
14.093045,0.169797,-0.026180
14.252024,0.165634,-0.008727
14.411052,0.164246,0.008727
14.570080,0.165634,0.026180
14.729060,0.169797,0.043633
14.887942,0.176734,0.061087
15.046679,0.186443,0.078540
15.205223,0.198921,0.095993
15.363525,0.214163,0.113446
15.521537,0.232166,0.130900
15.679210,0.252925,0.148353
15.836497,0.276431,0.165806
15.993350,0.302679,0.183260
16.149721,0.331661,0.200713
16.305562,0.363367,0.218166
16.460826,0.397789,0.235619
16.615466,0.434914,0.253073
16.769434,0.474733,0.270526
16.922684,0.517233,0.287979
17.075169,0.562401,0.305433
17.226843,0.610224,0.322886
17.377658,0.660686,0.340339
17.527570,0.713773,0.357792
17.676533,0.769467,0.375246
17.824501,0.827754,0.392699
17.971429,0.888613,0.410152
18.117273,0.952028,0.427606
18.261987,1.017978,0.445059
18.405529,1.086444,0.462512
18.547854,1.157405,0.479966
18.688919,1.230838,0.497419
18.828681,1.306723,0.514872
18.967097,1.385035,0.532325
19.104125,1.465751,0.549779
19.239724,1.548846,0.567232
19.373852,1.634295,0.584685
19.506468,1.722071,0.602139
19.637532,1.812149,0.619592
19.767004,1.904501,0.637045
19.894844,1.999098,0.654498
20.021014,2.095911,0.671952
20.145476,2.194912,0.689405
20.268190,2.296070,0.706858
20.389121,2.399355,0.724312
20.508230,2.504734,0.741765
20.625482,2.612175,0.759218
20.740841,2.721647,0.776672
20.854272,2.833115,0.794125
20.965741,2.946546,0.811578
21.075212,3.061906,0.829031
21.182654,3.179158,0.846485
21.288033,3.298267,0.863938
21.391317,3.419197,0.881391
21.492475,3.541912,0.898845
21.591476,3.666373,0.916298
21.688290,3.792543,0.933751
21.782887,3.920384,0.951204
21.875239,4.049856,0.968658
21.965316,4.180920,0.986111
22.053093,4.313536,1.003564
22.138542,4.447664,1.021018
22.221637,4.583263,1.038471
22.302353,4.720291,1.055924
22.380665,4.858707,1.073377
22.456549,4.998469,1.090831
22.529983,5.139534,1.108284
22.600944,5.281859,1.125737
22.669410,5.425400,1.143191
22.735360,5.570115,1.160644
22.798774,5.715959,1.178097
22.859634,5.862887,1.195551
22.917920,6.010855,1.213004
22.973615,6.159817,1.230457
23.026702,6.309729,1.247910
23.077164,6.460545,1.265364
23.124986,6.612218,1.282817
23.170154,6.764703,1.300270
23.212654,6.917953,1.317724
23.252473,7.071922,1.335177
23.289599,7.226561,1.352630
23.324020,7.381826,1.370083
23.355727,7.537667,1.387537
23.384708,7.694038,1.404990
23.410956,7.850891,1.422443
23.434463,8.008178,1.439897
23.455221,8.165851,1.457350
23.473224,8.323863,1.474803
23.488467,8.482165,1.492257
23.500945,8.640708,1.509710
23.510654,8.799446,1.527163
23.517590,8.958328,1.544616
23.521754,9.117308,1.562070
